,0k,1k,2k,4k,8k
qa1,52.8,39.6,34.6,32.1,27.6
qa2,32.132132132132135,21.92192192192192,15.815815815815816,14.814814814814815,10.01001001001001
qa3,13.713713713713714,16.82134570765661,18.637274549098198,19.71971971971972,19.41941941941942
qa4,51.151151151151154,43.84384384384384,40.94094094094094,33.333333333333336,18.71871871871872
qa5,63.66366366366366,59.17753259779338,52.252252252252255,43.34334334334334,38.13813813813814
avg,42.69213213213213,36.27292881424315,32.44925671162144,28.662242242242247,22.777257257257258
