,0k,1k,2k,4k,8k
qa1,54.9,10.5,6.7,5.1,5.1
qa2,39.23923923923924,15.115115115115115,4.604604604604605,6.206206206206206,4.2042042042042045
qa3,0.4004004004004004,11.368909512761022,1.1022044088176353,4.104104104104104,2.5025025025025025
qa4,21.72172172172172,7.207207207207207,6.106106106106106,7.007007007007007,2.8028028028028027
qa5,0.4004004004004004,14.543630892678035,7.107107107107107,12.412412412412412,9.70970970970971
avg,23.332352352352352,11.746972545552277,5.12400444532709,6.965945945945945,4.863843843843844
