model_name,task,0k,1k,2k,4k,8k
microsoft/Phi-3-mini-128k-instruct,qa1,97.0,84.8,72.2,69.0,70.4
microsoft/Phi-3-mini-128k-instruct,qa2,57.0,38.83883883883884,39.03903903903904,37.53753753753754,33.733733733733736
microsoft/Phi-3-mini-128k-instruct,qa3,32.0,40.835266821345705,30.96192384769539,26.926926926926928,25.525525525525527
microsoft/Phi-3-mini-128k-instruct,qa4,53.0,51.151151151151154,54.454454454454456,45.645645645645644,45.44544544544544
microsoft/Phi-3-mini-128k-instruct,qa5,74.0,72.0160481444333,67.86786786786787,69.66966966966967,66.36636636636636
microsoft/Phi-3-mini-128k-instruct,avg,62.6,57.5282609911538,52.904657041811355,49.755955955955955,48.29421421421422
HuggingFaceTB/SmolLM2-360M,qa1,52.8,39.6,34.6,32.1,27.6
HuggingFaceTB/SmolLM2-360M,qa2,32.132132132132135,21.92192192192192,15.815815815815816,14.814814814814815,10.01001001001001
HuggingFaceTB/SmolLM2-360M,qa3,13.713713713713714,16.82134570765661,18.637274549098198,19.71971971971972,19.41941941941942
HuggingFaceTB/SmolLM2-360M,qa4,51.151151151151154,43.84384384384384,40.94094094094094,33.333333333333336,18.71871871871872
HuggingFaceTB/SmolLM2-360M,qa5,63.66366366366366,59.17753259779338,52.252252252252255,43.34334334334334,38.13813813813814
HuggingFaceTB/SmolLM2-360M,avg,42.69213213213213,36.27292881424315,32.44925671162144,28.662242242242247,22.777257257257258
HuggingFaceTB/SmolLM2-360M-Instruct,qa1,54.9,10.5,6.7,5.1,5.1
HuggingFaceTB/SmolLM2-360M-Instruct,qa2,39.23923923923924,15.115115115115115,4.604604604604605,6.206206206206206,4.2042042042042045
HuggingFaceTB/SmolLM2-360M-Instruct,qa3,0.4004004004004004,11.368909512761022,1.1022044088176353,4.104104104104104,2.5025025025025025
HuggingFaceTB/SmolLM2-360M-Instruct,qa4,21.72172172172172,7.207207207207207,6.106106106106106,7.007007007007007,2.8028028028028027
HuggingFaceTB/SmolLM2-360M-Instruct,qa5,0.4004004004004004,14.543630892678035,7.107107107107107,12.412412412412412,9.70970970970971
HuggingFaceTB/SmolLM2-360M-Instruct,avg,23.332352352352352,11.746972545552277,5.12400444532709,6.965945945945945,4.863843843843844
